0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:57 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4664
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:58 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:58 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:58 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:58 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:58 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:04:59 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:42 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:06:43 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:39 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:39 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:40 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:40 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:40 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:40 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:40 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:51 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:51 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:07:51 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:33 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4593
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /SSINFRAP/libs/css/styles.css HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /SSINFRAP/libs/JS/vue.js HTTP/1.1" 200 300248
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /SSINFRAP/libs/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /SSINFRAP/JS/controller.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:11:34 +1100] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:52 +1100] "GET /SSINFRAP/index.html HTTP/1.1" 200 4533
0:0:0:0:0:0:0:1 - - [03/Dec/2018:17:12:52 +1100] "GET /SSINFRAP/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140936
